,HEI,aMED,DASH,mean_dds,mean_shannon_diversity_kcal,mean_berger_parker_kcal,mean_simpson_diversity_kcal,mean_gini_simpson_diversity_kcal,mean_quantidd_kcal,mean_mfad_jaccard_kcal,protein_eaten,fat_eaten,carb_eaten,fiber_eaten,alcohol_eaten,beta_carotene_eaten,folate_eaten,iron_eaten,magnesium_eaten,niacin_eaten,pantothenic_acid_eaten,cholesterol_eaten,fatty_acids_monounsaturated_eaten,fatty_acids_polyunsaturated_eaten,fatty_acids_saturated_eaten,calcium_eaten,phosphorus_eaten,potassium_eaten,sodium_eaten,zinc_eaten,vitamin_b1_eaten,vitamin_b12_eaten,vitamin_b2_eaten,vitamin_b6_eaten,vitamin_c_eaten,vitamin_d_eaten,salt_eaten,sugar_eaten,meat_fg_eaten,fruits_fg_eaten,vegetables_fg_eaten,dairy_fg_eaten,bread_fg_eaten,oils_nuts_fg_eaten,coffee_fg_eaten,others_fg_eaten,sugary_fg_eaten,grains_cereals_fg_eaten,fast_food_fg_eaten,water_fg_eaten,tea_fg_eaten,alcohol_fg_eaten,vegan_fg_eaten,CV_HEI,CV_energy_kcal_eaten,CV_energy_kj_eaten,CV_carb_eaten,CV_fat_eaten,CV_protein_eaten,CV_fiber_eaten,CV_alcohol_eaten,CV_beta_carotene_eaten,CV_calcium_eaten,CV_cholesterol_eaten,CV_fatty_acids_monounsaturated_eaten,CV_fatty_acids_polyunsaturated_eaten,CV_fatty_acids_saturated_eaten,CV_folate_eaten,CV_iron_eaten,CV_magnesium_eaten,CV_niacin_eaten,CV_pantothenic_acid_eaten,CV_phosphorus_eaten,CV_potassium_eaten,CV_salt_eaten,CV_sodium_eaten,CV_sugar_eaten,CV_vitamin_b1_eaten,CV_vitamin_b12_eaten,CV_vitamin_b2_eaten,CV_vitamin_b6_eaten,CV_vitamin_c_eaten,CV_vitamin_d_eaten,CV_zinc_eaten,CV_meat_fg_eaten,CV_fruits_fg_eaten,CV_vegetables_fg_eaten,CV_dairy_fg_eaten,CV_sugary_fg_eaten,CV_oils_nuts_fg_eaten,CV_coffee_fg_eaten,CV_grains_cereals_fg_eaten,CV_others_fg_eaten,CV_fast_food_fg_eaten,CV_bread_fg_eaten,CV_vegan_fg_eaten,CV_water_fg_eaten,CV_alcohol_fg_eaten,CV_tea_fg_eaten,age,bmi,bmr,height,weight,language,urbanity,swiss_citizen,eaten_quantity_in_gram,energy_kcal_eaten,dairy_products_meat_fish_eggs_tofu,vegetables_fruits,sweets_salty_snacks_alcohol,non_alcoholic_beverages,grains_potatoes_pulses,oils_fats_nuts
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter_A_155507;s__Mediterraneibacter_A_155507 faecis,0.0034985666,,,,,,,,,0.0027635621,,,,0.0036522779,,0.0031438759,0.0030074036,,,,,,,,,,,,,,,,,,0.0029373337,,,,,0.003285683,0.002961337,,,,,,,,,,,,,,,,0.0030188719,,,,,,0.0028398843,,,,,,,,,,,,,,0.0029392133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030826419,0.003448968,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales;f__Clostridiaceae_222000;g__Clostridium_T;s__Clostridium_T chartatabidum,0.0034449487,,,,,,,,,,,,,,,,0.0033676252,,,0.0029054615,,,,,,,,0.002915886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028720526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035984893,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__;s__,0.0033789943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034076974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034425515,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium_B;s__Lachnoclostridium_B sp000765215,0.003376075,,,,,,,,,,,,,,,,,,,,,,,0.0029634556,,0.00269423,0.0030168053,,,,,,,,,,,,,,,,,0.0031478638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Dysosmobacter;s__Dysosmobacter sp000403435,0.003345138,0.0039715054,,,,,,,,,,,,,,,,,0.0029273913,,,,,0.0029388394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens,0.0033448893,0.0030117766,0.003217869,,,,,0.0013345714,0.0028004642,,,,,0.003202917,,,0.0033177484,0.002993818,0.0029727127,,,,,0.0030578016,,,,,,,,,,,,,,,,,0.0031018003,,,,,,,,0.00318731,,,,0.003556725,0.0036307727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030739247,,,0.0030015842,,,,,,,,,,,,,,,,,,,,,,,,,0.0037225918
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena,0.0033321958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029226067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002812198,,,,0.0033586088,,,,,,,,,,,0.0036285329,0.003106731,,0.0034122039,,,,,,0.0034108842,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__Borkfalkiaceae;g__UBA1259;s__UBA1259 sp900320065,0.003299838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Pygmaiobacter;s__,0.0032029874,,,,,,,0.0027419082,,,,,,,,,,,,,,,,,,0.0029810867,0.0027656164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013224777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__AM51-8;s__AM51-8 sp003478275,,0.0036691772,0.0031152975,,0.003340183,,,,,,,,,,,,0.0040229317,,0.0038262038,,,,,0.0032120277,,,,0.0034249518,,,,,,,0.0029580663,,,,,,0.0031349943,,,0.004212843,,,0.0040088855,,0.0031810761,,,,,0.0032739728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002827747,0.0029763596,,,,,,,,,,,,,,,,,,,,,,,,,0.0033884924
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__G11;s__,,0.0035465113,,,0.0032105194,0.0029941,,0.0013494876,,,,,,,,,0.0037513983,0.003552151,0.003336084,,,,,,,,,0.0036548194,,,,,,0.00284938,,,,,,,0.00308148,,,,,,0.003291627,,0.003653496,,0.0029673213,,,0.0031512652,,,,,,,,0.0033722129,,,,,,,,,,,,,,,,,,,0.0027025181,,,,,,0.0014307993,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0038158693
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Dysosmobacter;s__Dysosmobacter welbionis,,0.0032329687,,,,,,,,,,0.0035941363,0.003356339,0.003608936,,,0.0030105636,,,,,,0.0028632064,0.0030947076,,0.0026811752,,,,,,,,,,,,,,,,,0.003262145,0.003952967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030152188,,,,,0.003518776,0.0031791576
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__ML615J-28;f__CAG-313;g__CAG-313;s__CAG-313 sp003539625,,0.0031540291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002791158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter intestini,,0.0031234059,,,0.0029054265,,0.0029021343,0.0029788762,,,,,,0.0035731748,,0.0030396562,,,0.0029772446,,,,,,,,,,,,,,,,0.002956967,,,,,,0.003262896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Lawsonibacter;s__Lawsonibacter sp000177015,,0.0031016702,,,,,,,,,,,0.0033232076,0.0042446954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002815618,,,,,0.0030777585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003090185,,,,,,,,,,,,,,,,,,,,,,0.00418251,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__,,0.0030777908,,,,,,,,,,,,0.0041595646,,,,0.0035140656,0.0033069327,,,,0.0032668405,0.002971463,,,0.0029784213,0.0028777977,,,,,,,,,,,,,,,,0.0034680401,,,,,,,,,0.0030950543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Erysipelatoclostridium;s__Clostridium spiroforme,,0.0030260917,,,,,,,,,,,,0.0036131972,0.0040485393,,,,,,,,,,,,,,,,,,,,,,,0.0032863535,0.003353132,0.003412765,,,,,,,,,,,,0.0043638824,,,,,,,,,,,,,,,,,,,,,,,,,0.0030366168,,,,,,,,,0.003016005,,,,,,,,,,0.0027043135,,0.0029569818,,,,,,,,,,,,,0.0035044076,0.0038362234,,,
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae_23353;g__SIO2C1;s__SIO2C1 sp010672925,,0.0029901904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00303728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029673944
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Anaerovoracaceae;g__Copromorpha;s__,,0.0029687847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029630377,,,,,0.003191323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013711391,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Acetitomaculum;s__,,0.0029347911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__;s__,,0.002877363,,,,,,,,,,,,,,,,0.0034469725,0.003271934,,,,0.0034525169,0.0030624587,,,0.0027339936,0.0029985975,,,,,,,,0.0013417908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__CAG-45;s__CAG-45 sp000438375,,,0.0040360787,,,,,,,,,,,0.004382941,,,0.0032676081,0.003036945,,,,,,,,,,,,,,,,,,,,,,,,,,0.0040807007,,,,,,,,,0.003943044,,,,,,,,,,,0.0028606118,,,,,,,,,,,,,,,0.0028152217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029515284,,,,,0.0030474123
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus massiliensis,,,0.0030862675,,,,,,,,,,0.0030688017,0.003684553,,0.003279893,,,,0.0029743202,,,,,,,,,,,,0.0030596904,,,,0.0031591798,,0.0028486524,0.0047617373,,0.0034336438,,,,,,,,,,,,0.003163529,,,,,,,,0.002913137,,,,,,,,,,,,,,,,,,,,,,,,0.0047467262,,,,,,,,,,,,,0.003188389,,,,,,,,,,,,0.0030090474,0.0032859645,0.0013776353,,0.0039095352,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Eubacteriales_45227;f__Oscillospiraceae_45227;g__Ructibacterium;s__,,,0.0028574313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Bacteroides_F;s__Bacteroides_F pectinophilus,,,0.0028543419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030179603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034800963
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_F,,,0.0028477458,,,,,,,,,,,,,,0.003126937,,,,,,,,,,,,,,,,,,0.0033608344,,,,,,,,,,,,,,,,,,0.0032456694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030629025,,,,,,,,,,,,,,,,,,,,,,0.00328101,,,0.0031001423
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus curvatus,,,0.002819077,,,,,,,,,,,,,0.0030029826,,,,,,,,,,,,,,,,,,,,,,,0.0032049047,,,,,,,,,0.0026988634,,,,,0.0031260224,,,,,,,,,,0.0031833923,,,,,,,,,,,,,,,,,,,,,0.002669889,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029822406,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus,,,,0.0040955828,,,,,,,,,0.0030676313,,0.0036411397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0069534336,,,,,,,0.003907671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__,,,,0.0032033152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0040467493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030578137,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp000687695,,,,0.0031248569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002811067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella morbillorum,,,,0.0031083962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031489814,,,,,,,,,,,,,,,,,,,,,,,,,0.0027946723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ;s__Clostridium_AQ innocuum,,,,0.0029539699,,,,,,,,0.0027886531,,,0.002872802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Erysipelatoclostridium;s__Clostridium ramosum,,,,0.0029459042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00349011,,,0.002836145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013280569,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Massilioclostridium;s__Massilioclostridium coli,,,,0.0029245073,,,,,,,,,,,0.0035795346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005655532,,,,,,,0.0034469394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum,,,,0.0028839437,,,,,0.0030868156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027919007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A_121497;s__Coprococcus_A_121497 sp000154245,,,,0.0028674304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002642529,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Ellagibacter;s__Ellagibacter isourolithinifaciens,,,,0.0028665462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0038663698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029008696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
